Forename,Surname,Description on ballot paper,Constituency Name,PANO,Votes,Share (%),Change,Incumbent?,Constituency ID ,Region ID,County ,Region ,Country ,Constituency type,Party name identifier,Party abbreviation
Albert,Owen,Welsh Labour/Llafur Cymru,Ynys Mon,647,10871,31.1,-2.2,MP,W07000041,W92000004,Gwynedd,Wales,Wales,County,Labour,Lab
John,Rowlands,Plaid Cymru - The Party of Wales,Ynys Mon,647,10642,30.5,4.3,,W07000041,W92000004,Gwynedd,Wales,Wales,County,Plaid Cymru,PC
Michelle,Willis,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Ynys Mon,647,7393,21.2,-1.3,,W07000041,W92000004,Gwynedd,Wales,Wales,County,Conservative,Con
Nathan,Gill,UKIP,Ynys Mon,647,5121,14.7,11.2,,W07000041,W92000004,Gwynedd,Wales,Wales,County,UK Independence Party,UKIP
Mark,Rosenthal,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Ynys Mon,647,751,2.2,-5.4,,W07000041,W92000004,Gwynedd,Wales,Wales,County,Liberal Democrat,LD
Liz,Screen,Socialist Labour Party/Plaid Lafur Sosialaidd,Ynys Mon,647,148,0.4,,,W07000041,W92000004,Gwynedd,Wales,Wales,County,Socialist Labour Party,SLP
David,Hanson,Welsh Labour/Llafur Cymru,Delyn,179,15187,40.6,-0.2,MP,W07000042,W92000004,Clwyd,Wales,Wales,County,Labour,Lab
Mark,Isherwood,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Delyn,179,12257,32.7,-1.9,,W07000042,W92000004,Clwyd,Wales,Wales,County,Conservative,Con
Nigel,Williams,UK Independence Party (UKIP),Delyn,179,6150,16.4,14.7,,W07000042,W92000004,Clwyd,Wales,Wales,County,UK Independence Party,UKIP
Paul,Rowlinson,Plaid Cymru - The Party of Wales,Delyn,179,1803,4.8,-0.2,,W07000042,W92000004,Clwyd,Wales,Wales,County,Plaid Cymru,PC
Tom,Rippeth,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Delyn,179,1380,3.7,-11.9,,W07000042,W92000004,Clwyd,Wales,Wales,County,Liberal Democrat,LD
Kay,Roney,Green Party/Plaid Werdd,Delyn,179,680,1.8,,,W07000042,W92000004,Clwyd,Wales,Wales,County,Green,Green
Mark,Tami,Welsh Labour/Llafur Cymru,Alyn and Deeside,10,16540,40,0.5,MP,W07000043,W92000004,Clwyd,Wales,Wales,County,Labour,Lab
Laura,Knightly,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Alyn and Deeside,10,13197,31.9,-0.3,,W07000043,W92000004,Clwyd,Wales,Wales,County,Conservative,Con
Blair,Smillie,UK Independence Party (UKIP),Alyn and Deeside,10,7260,17.6,15.1,,W07000043,W92000004,Clwyd,Wales,Wales,County,UK Independence Party,UKIP
Tudor,Jones,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Alyn and Deeside,10,1733,4.2,-14.1,,W07000043,W92000004,Clwyd,Wales,Wales,County,Liberal Democrat,LD
Jacqueline,Hurst,Plaid Cymru - The Party of Wales,Alyn and Deeside,10,1608,3.9,0,,W07000043,W92000004,Clwyd,Wales,Wales,County,Plaid Cymru,PC
Alasdair,Ibbotson,Green Party/Plaid Werdd,Alyn and Deeside,10,976,2.4,,,W07000043,W92000004,Clwyd,Wales,Wales,County,Green,Green
Ian,Lucas,Welsh Labour/Llafur Cymru,Wrexham,641,12181,37.2,0.4,MP,W07000044,W92000004,Clwyd,Wales,Wales,County,Labour,Lab
Andrew,Atkinson,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Wrexham,641,10350,31.6,6.2,,W07000044,W92000004,Clwyd,Wales,Wales,County,Conservative,Con
Niall,Plevin-Kelly,UK Independence Party (UKIP),Wrexham,641,5072,15.5,13.2,,W07000044,W92000004,Clwyd,Wales,Wales,County,UK Independence Party,UKIP
Carrie,Harper,Plaid Cymru - The Party of Wales,Wrexham,641,2501,7.6,1.5,,W07000044,W92000004,Clwyd,Wales,Wales,County,Plaid Cymru,PC
Rob,Walsh,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Wrexham,641,1735,5.3,-20.5,,W07000044,W92000004,Clwyd,Wales,Wales,County,Liberal Democrat,LD
David,Munnerley,Green Party/Plaid Werdd,Wrexham,641,669,2,,,W07000044,W92000004,Clwyd,Wales,Wales,County,Green,Green
Brian,Edwards,Independent,Wrexham,641,211,0.6,,,W07000044,W92000004,Clwyd,Wales,Wales,County,Independent,Ind
Nia,Griffith,Welsh Labour/Llafur Cymru,Llanelli,375,15948,41.3,-1.1,MP,W07000045,W92000004,Dyfed,Wales,Wales,County,Labour,Lab
Vaughan,Williams,Plaid Cymru - The Party of Wales,Llanelli,375,8853,23,-7,,W07000045,W92000004,Dyfed,Wales,Wales,County,Plaid Cymru,PC
Kenneth,Rees,UK Independence Party (UKIP),Llanelli,375,6269,16.3,13.5,,W07000045,W92000004,Dyfed,Wales,Wales,County,UK Independence Party,UKIP
Selaine,Saxby,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Llanelli,375,5534,14.4,0,,W07000045,W92000004,Dyfed,Wales,Wales,County,Conservative,Con
Cen,Phillips,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Llanelli,375,751,2,-8.5,,W07000045,W92000004,Dyfed,Wales,Wales,County,Liberal Democrat,LD
Guy,Smith,Wales Green Party,Llanelli,375,689,1.8,,,W07000045,W92000004,Dyfed,Wales,Wales,County,Green,Green
Sian,Caiach,People First - Gwerin Gyntaf,Llanelli,375,407,1.1,,,W07000045,W92000004,Dyfed,Wales,Wales,County,People First - Gwerin Gyntaf,People First - Gwerin Gyntaf
Scott,Jones,Trade Unionist and Socialist Coalition,Llanelli,375,123,0.3,,,W07000045,W92000004,Dyfed,Wales,Wales,County,Trade Unionist and Socialist Coalition,TUSC
Byron,Davies,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Gower,273,15862,37.1,5.1,,W07000046,W92000004,West Glamorgan,Wales,Wales,County,Conservative,Con
Liz,Evans,Welsh Labour/Llafur Cymru,Gower,273,15835,37,-1.4,,W07000046,W92000004,West Glamorgan,Wales,Wales,County,Labour,Lab
Colin,Beckett,UK Independence Party (UKIP),Gower,273,4773,11.2,9.6,,W07000046,W92000004,West Glamorgan,Wales,Wales,County,UK Independence Party,UKIP
Darren,Thomas,Plaid Cymru - The Party of Wales,Gower,273,3051,7.1,0.5,,W07000046,W92000004,West Glamorgan,Wales,Wales,County,Plaid Cymru,PC
Mike,Sheehan,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Gower,273,1552,3.6,-15.4,,W07000046,W92000004,West Glamorgan,Wales,Wales,County,Liberal Democrat,LD
Julia,Marshall,Green Party/Plaid Werdd,Gower,273,1161,2.7,,,W07000046,W92000004,West Glamorgan,Wales,Wales,County,Green,Green
David,Von Claptrap,The Official Monster Raving Loony Party,Gower,273,253,0.6,,,W07000046,W92000004,West Glamorgan,Wales,Wales,County,Monster Raving Loony Party,MRLP
Steve,Roberts,Independent,Gower,273,168,0.4,,,W07000046,W92000004,West Glamorgan,Wales,Wales,County,Independent,Ind
Mark,Evans,Trade Unionist and Socialist Coalition,Gower,273,103,0.2,,,W07000046,W92000004,West Glamorgan,Wales,Wales,County,Trade Unionist and Socialist Coalition,TUSC
Geraint,Davies,Welsh Labour/Llafur Cymru,Swansea West,559,14967,42.6,7.9,MP,W07000047,W92000004,West Glamorgan,Wales,Wales,Borough,Labour and Co-operative,Lab
Emma,Lane,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Swansea West,559,7931,22.6,1.8,,W07000047,W92000004,West Glamorgan,Wales,Wales,Borough,Conservative,Con
Martyn,Ford,UK Independence Party (UKIP),Swansea West,559,4744,13.5,11.5,,W07000047,W92000004,West Glamorgan,Wales,Wales,Borough,UK Independence Party,UKIP
Chris,Holley,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Swansea West,559,3178,9,-24.2,,W07000047,W92000004,West Glamorgan,Wales,Wales,Borough,Liberal Democrat,LD
Harri,Roberts,Plaid Cymru - The Party of Wales,Swansea West,559,2266,6.5,2.4,,W07000047,W92000004,West Glamorgan,Wales,Wales,Borough,Plaid Cymru,PC
Ashley,Wakeling,The Green Party/Plaid Werdd,Swansea West,559,1784,5.1,3.9,,W07000047,W92000004,West Glamorgan,Wales,Wales,Borough,Green,Green
Ronnie,Job,Trade Unionist and Socialist Coalition,Swansea West,559,159,0.5,-0.1,,W07000047,W92000004,West Glamorgan,Wales,Wales,Borough,Trade Unionist and Socialist Coalition,TUSC
Maxwell,Rosser,Independent,Swansea West,559,78,0.2,,,W07000047,W92000004,West Glamorgan,Wales,Wales,Borough,Independent,Ind
Brian,Johnson,The Socialist Party of Great Britain,Swansea West,559,49,0.1,,,W07000047,W92000004,West Glamorgan,Wales,Wales,Borough,The Socialist Party of Great Britain,The Socialist Party of Great Britain
Carolyn,Harris,Welsh Labour/Llafur Cymru,Swansea East,558,17807,53,1.5,,W07000048,W92000004,West Glamorgan,Wales,Wales,Borough,Labour,Lab
Clifford,Johnson,UK Independence Party (UKIP),Swansea East,558,5779,17.2,14.6,,W07000048,W92000004,West Glamorgan,Wales,Wales,Borough,UK Independence Party,UKIP
Altaf,Hussain,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Swansea East,558,5142,15.3,0.5,,W07000048,W92000004,West Glamorgan,Wales,Wales,Borough,Conservative,Con
Dic,Jones,Plaid Cymru - The Party of Wales,Swansea East,558,3498,10.4,3.7,,W07000048,W92000004,West Glamorgan,Wales,Wales,Borough,Plaid Cymru,PC
Ann,Jamal,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Swansea East,558,1392,4.1,-14.2,,W07000048,W92000004,West Glamorgan,Wales,Wales,Borough,Liberal Democrat,LD
Stephen,Kinnock,Welsh Labour/Llafur Cymru,Aberavon,1,15416,48.9,-3,,W07000049,W92000004,West Glamorgan,Wales,Wales,County,Labour,Lab
Peter,Bush,UK Independence Party (UKIP),Aberavon,1,4971,15.8,14.2,,W07000049,W92000004,West Glamorgan,Wales,Wales,County,UK Independence Party,UKIP
Edward,Yi He,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Aberavon,1,3742,11.9,-2.4,,W07000049,W92000004,West Glamorgan,Wales,Wales,County,Conservative,Con
Duncan,Higgitt,Plaid Cymru - The Party of Wales,Aberavon,1,3663,11.6,4.5,,W07000049,W92000004,West Glamorgan,Wales,Wales,County,Plaid Cymru,PC
Helen ,Clarke,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Aberavon,1,1397,4.4,-11.8,,W07000049,W92000004,West Glamorgan,Wales,Wales,County,Liberal Democrat,LD
Captain,Beany,Independent,Aberavon,1,1137,3.6,,,W07000049,W92000004,West Glamorgan,Wales,Wales,County,Independent,Ind
Jonathan,Tier,Green Party/Plaid Werdd,Aberavon,1,711,2.3,,,W07000049,W92000004,West Glamorgan,Wales,Wales,County,Green,Green
Andrew,Jordan,Socialist Labour Party/Plaid Lafur Sosialaidd,Aberavon,1,352,1.1,,,W07000049,W92000004,West Glamorgan,Wales,Wales,County,Socialist Labour Party,SLP
Owen,Herbert,Trade Unionist and Socialist Coalition,Aberavon,1,134,0.4,,,W07000049,W92000004,West Glamorgan,Wales,Wales,County,Trade Unionist and Socialist Coalition,TUSC
Jo ,Stevens,Welsh Labour/Llafur Cymru,Cardiff Central,126,15462,40,11.2,,W07000050,W92000004,South Glamorgan,Wales,Wales,Borough,Labour,Lab
Jenny,Willott,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Cardiff Central,126,10481,27.1,-14.3,MP,W07000050,W92000004,South Glamorgan,Wales,Wales,Borough,Liberal Democrat,LD
Richard,Hopkin,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Cardiff Central,126,5674,14.7,-6.9,,W07000050,W92000004,South Glamorgan,Wales,Wales,Borough,Conservative,Con
Anthony,Raybould,UKIP,Cardiff Central,126,2499,6.5,4.4,,W07000050,W92000004,South Glamorgan,Wales,Wales,Borough,UK Independence Party,UKIP
Christopher,von Ruhland,Green Party/Plaid Werdd,Cardiff Central,126,2461,6.4,4.8,,W07000050,W92000004,South Glamorgan,Wales,Wales,Borough,Green,Green
Martin,Pollard,Plaid Cymru - The Party of Wales,Cardiff Central,126,1925,5,1.5,,W07000050,W92000004,South Glamorgan,Wales,Wales,Borough,Plaid Cymru,PC
Steve,Williams,Trade Unionist and Socialist Coalition,Cardiff Central,126,110,0.3,-0.2,,W07000050,W92000004,South Glamorgan,Wales,Wales,Borough,Trade Unionist and Socialist Coalition,TUSC
Kazimir,Hubert,Independent,Cardiff Central,126,34,0.1,,,W07000050,W92000004,South Glamorgan,Wales,Wales,Borough,Independent,Ind
Craig,Williams,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Cardiff North,127,21709,42.4,4.9,,W07000051,W92000004,South Glamorgan,Wales,Wales,Borough,Conservative,Con
Mari,Williams,Welsh Labour/Llafur Cymru,Cardiff North,127,19572,38.3,1.2,,W07000051,W92000004,South Glamorgan,Wales,Wales,Borough,Labour,Lab
Ethan,Wilkinson,UKIP,Cardiff North,127,3953,7.7,5.4,,W07000051,W92000004,South Glamorgan,Wales,Wales,Borough,UK Independence Party,UKIP
Elin,Walker Jones,Plaid Cymru - The Party of Wales,Cardiff North,127,2301,4.5,1.2,,W07000051,W92000004,South Glamorgan,Wales,Wales,Borough,Plaid Cymru,PC
Elizabeth,Clark,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Cardiff North,127,1953,3.8,-14.5,,W07000051,W92000004,South Glamorgan,Wales,Wales,Borough,Liberal Democrat,LD
Ruth,Osner,Green Party/Plaid Werdd,Cardiff North,127,1254,2.5,1.7,,W07000051,W92000004,South Glamorgan,Wales,Wales,Borough,Green,Green
Jeff,Green,"Welsh Christian Party ""Proclaiming Christ's Lordship""",Cardiff North,127,331,0.7,,,W07000051,W92000004,South Glamorgan,Wales,Wales,Borough,"Christian Party, Proclaiming Christ's Lordship","Christian Party, Proclaiming Christ's Lordship"
Shaun,Jenkins,After Change- Politics Only Different,Cardiff North,127,78,0.2,,,W07000051,W92000004,South Glamorgan,Wales,Wales,Borough,Alter Change - Politics. Only Different.,Alter Change - Politics. Only Different.
Chris,Bryant,Welsh Labour/Llafur Cymru,Rhondda,470,15976,50.7,-4.6,MP,W07000052,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Labour,Lab
Shelley,Rees-Owen,Plaid Cymru - The Party of Wales,Rhondda,470,8521,27,8.9,,W07000052,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Plaid Cymru,PC
Ron,Hughes,UKIP,Rhondda,470,3998,12.7,11.5,,W07000052,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,UK Independence Party,UKIP
Lyn,Hudson,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Rhondda,470,2116,6.7,0.3,,W07000052,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Conservative,Con
George,Summers,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Rhondda,470,474,1.5,-9.2,,W07000052,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Liberal Democrat,LD
Lisa,Rapado,The Green Party/Plaid Werdd,Rhondda,470,453,1.4,,,W07000052,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Green,Green
Nick,Thomas-Symonds,Welsh Labour/Llafur Cymru,Torfaen,576,16938,44.7,-0.1,,W07000053,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Labour,Lab
Graham,Smith,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Torfaen,576,8769,23.1,3.1,,W07000053,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Conservative,Con
Ken,Beswick,UK Independence Party (UKIP),Torfaen,576,7203,19,16.7,,W07000053,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,UK Independence Party,UKIP
Boydd,Hackley-Green,Plaid Cymru - The Party of Wales,Torfaen,576,2169,5.7,0.4,,W07000053,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Plaid Cymru,PC
Alison,Willott,Liberal Democrat,Torfaen,576,1271,3.4,-13.3,,W07000053,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Liberal Democrat,LD
Matt,Cooke,Green Party/Plaid Werdd,Torfaen,576,746,2,0.8,,W07000053,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Green,Green
John,Cox,Socialist Labour Party/Plaid Lafur Sosialaidd,Torfaen,576,697,1.8,,,W07000053,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Socialist Labour Party,SLP
Mark,Griffiths,Communist Party,Torfaen,576,144,0.4,,,W07000053,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Communist Party of Britain,Comm
David,Davies,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Monmouth,401,23701,49.9,1.6,MP,W07000054,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Conservative,Con
Ruth,Jones,Welsh Labour/Llafur Cymru,Monmouth,401,12719,26.8,0.9,,W07000054,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Labour,Lab
Gareth,Dunn,UK Independence Party (UKIP),Monmouth,401,4942,10.4,8,,W07000054,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,UK Independence Party,UKIP
Veronica,German,Liberal Democrat/Democratiaid Rhyddfrydol,Monmouth,401,2496,5.3,-14.1,,W07000054,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Liberal Democrat,LD
Jonathan ,Clark,Plaid Cymru - The Party of Wales,Monmouth,401,1875,4,1.2,,W07000054,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Plaid Cymru,PC
Chris,Were,Green Party/Plaid Werdd,Monmouth,401,1629,3.4,2.2,,W07000054,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Green,Green
Stephen,Morris,English Democrats - Letting Monmouthshire Decide,Monmouth,401,100,0.2,,,W07000054,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,English Democrats,Eng Dem
Jessica,Morden,Welsh Labour/Llafur Cymru,Newport East,417,14290,40.7,3.7,MP,W07000055,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Labour,Lab
Natasha,Asghar,Welsh Conservative Party Candidate,Newport East,417,9585,27.3,4.3,,W07000055,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Conservative,Con
David,Stock,UK Independence Party (UKIP),Newport East,417,6466,18.4,16.5,,W07000055,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,UK Independence Party,UKIP
Paul,Halliday,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Newport East,417,2251,6.4,-25.8,,W07000055,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Liberal Democrat,LD
Anthony,Salkeld,Plaid Cymru - The Party of Wales,Newport East,417,1231,3.5,1.4,,W07000055,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Plaid Cymru,PC
David,Mclean,Green Party/Plaid Werdd,Newport East,417,887,2.5,,,W07000055,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Green,Green
Shangara,Singh Bhatoe,Socialist Labour Party/Plaid Lafur Sosialaidd,Newport East,417,398,1.1,0.8,,W07000055,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Socialist Labour Party,SLP
Paul,Flynn,Welsh Labour/Llafur Cymru,Newport West,418,16633,41.2,0,MP,W07000056,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Labour,Lab
Nick,Webb,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Newport West,418,13123,32.5,0.2,,W07000056,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Conservative,Con
Gordon,Norrie,UK Independence Party (UKIP),Newport West,418,6134,15.2,12.3,,W07000056,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,UK Independence Party,UKIP
Simon,Coopey,Plaid Cymru - The Party of Wales,Newport West,418,1604,4,1.2,,W07000056,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Plaid Cymru,PC
Ed,Townsend,Liberal Democrats,Newport West,418,1581,3.9,-12.7,,W07000056,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Liberal Democrat,LD
Pippa,Bartolotti,Wales Green Party,Newport West,418,1272,3.2,2,,W07000056,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,Green,Green
Hywel,Williams,Plaid Cymru - The Party of Wales,Arfon,16,11790,43.9,8,MP,W07000057,W92000004,Gwynedd,Wales,Wales,County,Plaid Cymru,PC
Alun,Pugh,Welsh Labour/Llafur Cymru,Arfon,16,8122,30.3,-0.1,,W07000057,W92000004,Gwynedd,Wales,Wales,County,Labour,Lab
Anwen,Barry,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Arfon,16,3521,13.1,-3.8,,W07000057,W92000004,Gwynedd,Wales,Wales,County,Conservative,Con
Simon,Wall,UK Independence Party (UKIP),Arfon,16,2277,8.5,5.9,,W07000057,W92000004,Gwynedd,Wales,Wales,County,UK Independence Party,UKIP
Mohammed,Shultan,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Arfon,16,718,2.7,-11.4,,W07000057,W92000004,Gwynedd,Wales,Wales,County,Liberal Democrat,LD
Kathrine,Jones,Socialist Labour Party/Plaid Lafur Sosialaidd,Arfon,16,409,1.5,,,W07000057,W92000004,Gwynedd,Wales,Wales,County,Socialist Labour Party,SLP
Guto ,Bebb,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Aberconwy,2,12513,41.5,5.7,MP,W07000058,W92000004,Clwyd,Wales,Wales,County,Conservative,Con
Mary,Wimbury,Welsh Labour/Llafur Cymru,Aberconwy,2,8514,28.2,3.8,,W07000058,W92000004,Clwyd,Wales,Wales,County,Labour,Lab
Dafydd,Meurig,Plaid Cymru - The Party of Wales,Aberconwy,2,3536,11.7,-6.1,,W07000058,W92000004,Clwyd,Wales,Wales,County,Plaid Cymru,PC
Andrew ,Haigh,UKIP,Aberconwy,2,3467,11.5,9.4,,W07000058,W92000004,Clwyd,Wales,Wales,County,UK Independence Party,UKIP
Victor,Babu,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Aberconwy,2,1391,4.6,-14.7,,W07000058,W92000004,Clwyd,Wales,Wales,County,Liberal Democrat,LD
Petra ,Haig,Green Party/Plaid Werdd,Aberconwy,2,727,2.4,,,W07000058,W92000004,Clwyd,Wales,Wales,County,Green,Green
David,Jones,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Clwyd West,155,16463,43.3,1.8,MP,W07000059,W92000004,Clwyd,Wales,Wales,County,Conservative,Con
Gareth,Thomas,Welsh Labour/Llafur Cymru,Clwyd West,155,9733,25.6,0.9,,W07000059,W92000004,Clwyd,Wales,Wales,County,Labour,Lab
Warwick,Nicholson,UKIP,Clwyd West,155,4988,13.1,10.9,,W07000059,W92000004,Clwyd,Wales,Wales,County,UK Independence Party,UKIP
Marc,Jones,Plaid Cymru - The Party of Wales,Clwyd West,155,4651,12.2,-3.2,,W07000059,W92000004,Clwyd,Wales,Wales,County,Plaid Cymru,PC
Sarah,Lesiter-Burgess,Welsh Liberal Democrats - Democratiaid Rhyddfrydol Cymru,Clwyd West,155,1387,3.7,-11.6,,W07000059,W92000004,Clwyd,Wales,Wales,County,Liberal Democrat,LD
Bob,English,Socialist Labour Party/Plaid Lafur Sosialaidd,Clwyd West,155,612,1.6,,,W07000059,W92000004,Clwyd,Wales,Wales,County,Socialist Labour Party,SLP
Rory,Jepson,Trying to fix a broken system,Clwyd West,155,194,0.5,,,W07000059,W92000004,Clwyd,Wales,Wales,County,The Above and Beyond Party,The Above and Beyond Party
James,Davies,Welsh Conservative Party Candidate/Ymgeisydd Plaid Geidwadol Cymru,Vale Of Clwyd,588,13760,39,3.8,,W07000060,W92000004,Clwyd,Wales,Wales,County,Conservative,Con
Christopher,Ruane,Welsh Labour/Llafur Cymru,Vale Of Clwyd,588,13523,38.4,-3.9,MP,W07000060,W92000004,Clwyd,Wales,Wales,County,Labour,Lab
Paul,Davies-Cooke,UK Independence Party (UK IP),Vale Of Clwyd,588,4577,13,11.5,,W07000060,W92000004,Clwyd,Wales,Wales,County,UK Independence Party,UKIP
Mair,Rowlands,Plaid Cymru - The Party of Wales,Vale Of Clwyd,588,2486,7.1,1.2,,W07000060,W92000004,Clwyd,Wales,Wales,County,Plaid Cymru,PC
Gwyn,Williams,Liberal Democrat/Democratiaid Rhyddfrydol,Vale Of Clwyd,588,915,2.6,-10,,W07000060,W92000004,Clwyd,Wales,Wales,County,Liberal Democrat,LD
Liz ,Roberts,Plaid Cymru - The Party of Wales,Dwyfor Meirionnydd,217,11811,40.9,-3.5,,W07000061,W92000004,Gwynedd,Wales,Wales,County,Plaid Cymru,PC
